date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2020-01-01 00:00:00,7.9,4.9,13.4,0,,15,12.2,31.5,1032.1,
2020-01-02 00:00:00,7.8,4.1,14.7,0,,336,14.7,29.6,1031.8,
2020-01-03 00:00:00,7.1,4.5,11,0,,2,17.6,29.6,1030.9,
2020-01-04 00:00:00,7.9,3.9,14.8,0,,356,20.6,33.3,1031.4,
2020-01-05 00:00:00,8.5,4.9,15.1,0,,8,21.3,35.2,1028.6,
2020-01-06 00:00:00,8.3,4.1,16,0,,358,14.2,31.5,1029.4,
2020-01-07 00:00:00,8.2,4.6,15.3,0,,348,17.5,33.3,1029.8,
2020-01-08 00:00:00,9.1,4.7,16.7,0,,17,13.2,33.3,1030.2,
2020-01-09 00:00:00,9.5,5.7,14.7,4.9,,321,14.8,29.6,1027.5,
2020-01-10 00:00:00,9.3,6.8,12.5,16.2,,15,11.7,27.8,1025.7,
2020-01-11 00:00:00,7.2,4.2,12.3,0,,2,16.8,29.6,1030.1,
2020-01-12 00:00:00,6.4,2.4,14.7,0,,351,15.3,31.5,1029.9,
2020-01-13 00:00:00,7.2,2.9,12.9,0,,325,15.7,31.5,1025,
2020-01-14 00:00:00,7.8,2.7,14.4,0,,338,14.6,29.6,1022,
2020-01-15 00:00:00,7.8,3.2,14.3,0,,345,15.8,33.3,1024.4,
2020-01-16 00:00:00,9,4.8,14.8,0,,338,15,27.8,1027.7,
2020-01-17 00:00:00,12.3,6.9,19,0,,309,12.6,48.2,1026.2,
2020-01-18 00:00:00,9.9,7.2,14.7,0.2,,335,15,29.6,1027.1,
2020-01-19 00:00:00,10.7,9.3,12.5,0,,58,35.4,72.2,1020.5,
2020-01-20 00:00:00,9.7,7.3,11.4,54.1,,57,53.9,96.3,1024.9,
2020-01-21 00:00:00,10.4,7.6,12.8,87.9,,72,60.2,96.3,1023.4,
2020-01-22 00:00:00,12.6,10,14.9,10.4,,61,26.4,70.4,1020.8,
2020-01-23 00:00:00,12.2,8.5,14.7,0.1,,238,16.1,50,1020.9,
2020-01-24 00:00:00,9.7,6.2,15.4,0,,337,14.4,27.8,1022.1,
2020-01-25 00:00:00,10.7,7.8,14.3,0,,23,12.9,24.1,1020.5,
2020-01-26 00:00:00,11.4,8.2,17.4,0,,356,12.3,22.2,1019.9,
2020-01-27 00:00:00,10.4,6.1,15.4,0,,303,13.2,44.5,1020.7,
2020-01-28 00:00:00,13.6,10.1,17.7,0,,277,23.7,46.3,1017.7,
2020-01-29 00:00:00,11.2,8.2,16.4,0,,20,9.2,25.9,1021,
2020-01-30 00:00:00,12.3,8.7,18.8,0,,329,9.1,27.8,1020.4,
2020-01-31 00:00:00,13.1,10.5,19.2,0,,310,12,24.1,1020.9,
2020-02-01 00:00:00,13.4,8.9,21.4,0,,15,6.4,24.1,1021.2,
2020-02-02 00:00:00,14.6,10,20.7,0,,309,10,31.5,1025.9,
2020-02-03 00:00:00,15.4,11.7,21.5,0,,258,11.5,25.9,1026.4,
2020-02-04 00:00:00,14.7,10.3,21.3,0,,344,11.3,33.3,1022.6,
2020-02-05 00:00:00,10.4,7,14.8,0,,332,14.6,25.9,1028.6,
2020-02-06 00:00:00,9.5,4.8,14.8,0,,324,15.8,31.5,1027.6,
2020-02-07 00:00:00,9.9,6.5,14.7,0,,336,11.9,22.2,1025.4,
2020-02-08 00:00:00,10.3,6.7,14.1,0,,337,8.7,22.2,1025.2,
2020-02-09 00:00:00,11.1,7.2,15.1,0,,306,18.6,40.8,1028.6,
2020-02-10 00:00:00,14.6,11.2,21.6,0,,251,19.6,42.6,1026.4,
2020-02-11 00:00:00,13.7,10.7,17.3,0,,54,10.8,25.9,1023.9,
2020-02-12 00:00:00,12.3,11.4,13.5,0,,59,14.3,25.9,1025.2,
2020-02-13 00:00:00,12.8,9.5,16.3,0,,277,18.7,44.5,1021.4,
2020-02-14 00:00:00,12.1,9.2,16.2,0,,6,10.5,24.1,1024.7,
2020-02-15 00:00:00,12.3,9.9,15.6,0,,287,14.3,33.3,1026.2,
2020-02-16 00:00:00,13.8,13.2,15.8,0,,252,21.2,44.5,1026.3,
2020-02-17 00:00:00,13.9,13.3,15.9,1.1,,240,16.3,37,1025.2,
2020-02-18 00:00:00,11.7,7.9,15.1,0,,291,12.2,27.8,1031.1,
2020-02-19 00:00:00,9.9,6.8,16.7,0,,330,14.1,27.8,1030.7,
2020-02-20 00:00:00,10.2,5.2,15.6,0,,316,18.5,35.2,1026.1,
2020-02-21 00:00:00,11.3,6.8,17,0,,312,16.3,33.3,1029.1,
2020-02-22 00:00:00,11.5,7.5,16.4,0,,38,13.9,25.9,1031.9,
